net,length_um
_03250_,36.66µm
_05233_,36.66µm
_11164_,36.66µm
_08024_,36.62µm
_04927_,36.6µm
_05749_,36.59µm
_05979_,36.58µm
_11964_,36.52µm
_04638_,36.5µm
_08764_,36.46µm
_03968_,36.44µm
_03896_,36.42µm
_04977_,36.34µm
_05073_,36.34µm
_03656_,36.32µm
_09581_,36.22µm
_05251_,36.21µm
keymem.key_mem\[10\]\[10\],36.2µm
_07220_,36.18µm
_06672_,36.12µm
_07048_,36.08µm
_08253_,36.08µm
_10528_,36.08µm
_07273_,36.06µm
_08520_,36.06µm
_09700_,36.06µm
_08723_,36.04µm
net236,36.04µm
_11268_,36.02µm
_02700_,35.98µm
_09268_,35.98µm
_03473_,35.94µm
_06426_,35.94µm
_11186_,35.92µm
_04648_,35.9µm
_06921_,35.86µm
_09991_,35.86µm
_03239_,35.84µm
_04163_,35.84µm
_08008_,35.76µm
_08965_,35.76µm
_08751_,35.74µm
_06735_,35.68µm
_04232_,35.62µm
_04623_,35.62µm
_10290_,35.62µm
_11154_,35.6µm
_04664_,35.54µm
_04563_,35.52µm
_05297_,35.5µm
_09770_,35.5µm
_03041_,35.44µm
_07886_,35.4µm
_10190_,35.38µm
_08890_,35.36µm
_11890_,35.32µm
_08191_,35.3µm
_06249_,35.28µm
_08295_,35.28µm
_04798_,35.26µm
_08824_,35.26µm
_09895_,35.24µm
_06506_,35.22µm
_11180_,35.14µm
_06103_,35.12µm
_03162_,35.1µm
_05053_,35.1µm
_08000_,35.1µm
_08377_,35.1µm
_07443_,35.06µm
_02509_,35.04µm
_07060_,35µm
_07258_,34.93µm
keymem.prev_key0_reg\[33\],34.9µm
_05049_,34.86µm
_06383_,34.84µm
_04917_,34.8µm
_09008_,34.8µm
_04226_,34.79µm
_05364_,34.78µm
_03658_,34.74µm
_02872_,34.72µm
_03195_,34.72µm
_05685_,34.72µm
_11303_,34.72µm
_05172_,34.71µm
_03299_,34.68µm
_06126_,34.68µm
enc_block.round\[3\],34.68µm
_08458_,34.64µm
_09975_,34.64µm
_02847_,34.62µm
_09767_,34.6µm
_10274_,34.6µm
_09046_,34.54µm
_11211_,34.48µm
_10096_,34.47µm
_02753_,34.46µm
_11534_,34.42µm
_06448_,34.4µm
_06687_,34.38µm
_11329_,34.38µm
_03175_,34.3µm
_04077_,34.3µm
_07624_,34.28µm
_03940_,34.26µm
_05551_,34.26µm
_07453_,34.22µm
_03939_,34.175µm
_08712_,34.12µm
_08747_,34.12µm
_11909_,34.08µm
_07127_,34.06µm
_08960_,34.06µm
_04609_,34.04µm
_08602_,34.04µm
_06351_,34.02µm
dec_block.block_w1_reg\[5\],34.015µm
_04383_,34µm
_06461_,33.94µm
_10701_,33.92µm
_06749_,33.9µm
keymem.prev_key0_reg\[118\],33.875µm
_06266_,33.87µm
_08213_,33.87µm
_03993_,33.8µm
enc_block.enc_ctrl_reg\[2\],33.8µm
_07683_,33.74µm
_11260_,33.72µm
_09323_,33.7µm
_02977_,33.64µm
_08950_,33.635µm
_04443_,33.56µm
_08298_,33.5µm
_03496_,33.46µm
_06397_,33.455µm
_10129_,33.44µm
_03478_,33.42µm
_11671_,33.42µm
_11801_,33.42µm
_04897_,33.38µm
_09673_,33.36µm
_04906_,33.34µm
_06683_,33.34µm
_05028_,33.32µm
_07986_,33.3µm
_04783_,33.26µm
_08805_,33.26µm
_03834_,33.24µm
_06481_,33.22µm
_07021_,33.2µm
_07056_,33.2µm
_07660_,33.2µm
_09340_,33.2µm
_11781_,33.2µm
_02730_,33.18µm
_06695_,33.18µm
keymem.key_mem\[8\]\[72\],33.18µm
_04113_,33.17µm
_10907_,33.16µm
_04886_,33.14µm
_11287_,33.14µm
_11725_,33.14µm
_11380_,33.02µm
keymem.key_mem\[5\]\[67\],33µm
_05345_,32.92µm
_03957_,32.86µm
_08240_,32.86µm
keymem.key_mem\[0\]\[60\],32.86µm
_03307_,32.85µm
_05779_,32.8µm
_07956_,32.8µm
_06661_,32.76µm
_07000_,32.76µm
keymem.key_mem\[0\]\[16\],32.76µm
_11536_,32.74µm
_04900_,32.72µm
_09231_,32.66µm
_09369_,32.65µm
_10502_,32.64µm
enc_block.enc_ctrl_reg\[3\],32.6µm
_04483_,32.58µm
_05767_,32.58µm
_08421_,32.54µm
_05285_,32.48µm
_06192_,32.48µm
_11283_,32.48µm
_05623_,32.46µm
_07965_,32.44µm
keymem.key_mem\[0\]\[15\],32.44µm
_03302_,32.4µm
_03759_,32.36µm
_04091_,32.36µm
_08718_,32.16µm
_08767_,32.14µm
_10526_,32.13µm
_09751_,32.12µm
_11768_,32.1µm
_08300_,32.06µm
_08610_,32.04µm
_08790_,32.02µm
_09920_,32µm
_11680_,32µm
dec_block.block_w1_reg\[1\],31.99µm
_10358_,31.96µm
_02944_,31.93µm
_07935_,31.92µm
_09813_,31.9µm
keymem.key_mem\[9\]\[72\],31.9µm
_05916_,31.88µm
_11960_,31.88µm
_02482_,31.86µm
_08521_,31.86µm
_09687_,31.82µm
_06051_,31.8µm
_10006_,31.8µm
keymem.key_mem\[9\]\[45\],31.8µm
_10473_,31.78µm
_09522_,31.72µm
_07867_,31.69µm
_10204_,31.68µm
_04500_,31.66µm
_04805_,31.66µm
_06493_,31.62µm
_10378_,31.62µm
_11660_,31.62µm
_05200_,31.6µm
_10243_,31.58µm
_11413_,31.58µm
_10731_,31.545µm
_03918_,31.54µm
_09528_,31.54µm
_10284_,31.54µm
_02894_,31.5µm
_04613_,31.5µm
_07135_,31.5µm
_11371_,31.47µm
_03875_,31.42µm
_03246_,31.4µm
_03204_,31.38µm
_07780_,31.3µm
_11162_,31.28µm
_09874_,31.26µm
keymem.key_mem\[1\]\[72\],31.24µm
_05508_,31.22µm
_11307_,31.22µm
_05646_,31.2µm
_07868_,31.2µm
_10383_,31.195µm
_09692_,31.16µm
_07054_,31.14µm
_07148_,31.14µm
_09585_,31.14µm
_09566_,31.1µm
_04236_,31.08µm
_04487_,31.08µm
_04826_,31.04µm
_11694_,31.04µm
_08774_,31µm
dec_block.block_w0_reg\[19\],31µm
_03203_,30.98µm
_11811_,30.96µm
_09918_,30.94µm
_08647_,30.92µm
_08315_,30.88µm
dec_block.block_w1_reg\[12\],30.88µm
_11537_,30.86µm
dec_block.block_w0_reg\[25\],30.84µm
_02904_,30.82µm
_09779_,30.82µm
_09215_,30.78µm
_10229_,30.72µm
_04771_,30.715µm
_09913_,30.68µm
_07833_,30.64µm
_04888_,30.62µm
_05631_,30.62µm
_11531_,30.62µm
_11313_,30.58µm
_05351_,30.54µm
_07470_,30.54µm
keymem.key_mem\[11\]\[5\],30.465µm
_11598_,30.46µm
clknet_leaf_262_clk,30.46µm
aes_core_ctrl_reg\[2\],30.435µm
_04364_,30.42µm
_08522_,30.42µm
_09630_,30.405µm
_03323_,30.4µm
_05304_,30.4µm
_11002_,30.4µm
_03401_,30.36µm
_09304_,30.36µm
_03885_,30.34µm
keymem.key_mem\[13\]\[10\],30.32µm
_06012_,30.28µm
keymem.prev_key1_reg\[38\],30.24µm
_03580_,30.2µm
_03385_,30.18µm
_08706_,30.16µm
_10422_,30.16µm
clknet_leaf_6_clk,30.15µm
_00004_,30.08µm
_06858_,30.08µm
_10139_,30.08µm
_04869_,30.06µm
_08576_,30.06µm
_10491_,30.06µm
_03840_,30.04µm
_05311_,30µm
_06665_,30µm
dec_block.block_w1_reg\[25\],30µm
_09042_,29.94µm
_09267_,29.94µm
_11334_,29.94µm
_08512_,29.92µm
_05422_,29.88µm
_11544_,29.88µm
_09631_,29.84µm
dec_block.block_w1_reg\[24\],29.84µm
_08858_,29.78µm
_02476_,29.74µm
_03785_,29.74µm
_04588_,29.74µm
_05046_,29.74µm
_05806_,29.74µm
_10068_,29.74µm
_05082_,29.72µm
_02854_,29.64µm
_11266_,29.62µm
_03405_,29.6µm
_08768_,29.6µm
_08535_,29.58µm
keymem.key_mem\[0\]\[3\],29.54µm
_04027_,29.5µm
_09912_,29.5µm
_06986_,29.48µm
keymem.prev_key0_reg\[1\],29.48µm
_03448_,29.46µm
_06714_,29.46µm
_11700_,29.44µm
_09311_,29.42µm
_08649_,29.41µm
_11235_,29.38µm
_09536_,29.33µm
_02979_,29.32µm
_07880_,29.32µm
_08379_,29.32µm
keymem.rcon_logic.tmp_rcon\[2\],29.32µm
_04790_,29.3µm
_07859_,29.3µm
_08583_,29.28µm
_06030_,29.26µm
_04440_,29.18µm
_11475_,29.18µm
_09653_,29.14µm
_10047_,29.14µm
_07779_,29.12µm
keymem.key_mem\[10\]\[72\],29.12µm
_10564_,29.1µm
_05127_,29.08µm
_10048_,29.08µm
_10878_,29.08µm
keymem.key_mem\[12\]\[17\],29.08µm
_06196_,29.04µm
_04942_,29.03µm
_10670_,29.02µm
_04760_,29µm
keymem.key_mem_ctrl_reg\[3\],28.98µm
_04262_,28.96µm
_03911_,28.92µm
_10375_,28.92µm
_10782_,28.92µm
_09435_,28.9µm
_10214_,28.9µm
_10474_,28.9µm
_10141_,28.84µm
_11978_,28.82µm
dec_block.ready,28.81µm
_09185_,28.74µm
_09540_,28.74µm
_09605_,28.74µm
_11796_,28.74µm
_09995_,28.7µm
net214,28.7µm
_08223_,28.68µm
_09524_,28.68µm
keymem.key_mem\[9\]\[124\],28.665µm
_08785_,28.66µm
keymem.prev_key1_reg\[123\],28.63µm
_10009_,28.6µm
_08769_,28.58µm
clknet_leaf_215_clk,28.58µm
clknet_leaf_0_clk,28.56µm
_09812_,28.55µm
_03391_,28.5µm
_07023_,28.5µm
_04870_,28.48µm
_07830_,28.48µm
_08084_,28.48µm
keymem.key_mem\[0\]\[7\],28.46µm
keymem.key_mem\[1\]\[21\],28.46µm
_05857_,28.44µm
_02664_,28.4µm
_08400_,28.4µm
_11926_,28.38µm
_08360_,28.37µm
_10914_,28.37µm
_03165_,28.36µm
_03947_,28.36µm
_05017_,28.36µm
_05036_,28.36µm
_10779_,28.36µm
_10795_,28.36µm
_10493_,28.32µm
_02846_,28.28µm
_07278_,28.27µm
_07910_,28.26µm
net165,28.22µm
_08045_,28.2µm
_11842_,28.2µm
keymem.prev_key0_reg\[74\],28.18µm
_05680_,28.165µm
_08101_,28.16µm
_04493_,28.12µm
_10300_,28.12µm
keymem.prev_key0_reg\[105\],28.08µm
_08968_,28.06µm
_05005_,28.04µm
_09654_,28.04µm
_07286_,28.03µm
_09521_,28.02µm
_09598_,28.02µm
keymem.prev_key0_reg\[94\],27.96µm
_03421_,27.94µm
_05759_,27.94µm
_09346_,27.86µm
_08288_,27.84µm
_06350_,27.82µm
_07874_,27.82µm
dec_block.block_w1_reg\[9\],27.82µm
_08338_,27.8µm
_06562_,27.77µm
keymem.prev_key0_reg\[79\],27.74µm
_07438_,27.64µm
_08079_,27.6µm
_10994_,27.6µm
keymem.key_mem\[0\]\[30\],27.6µm
keymem.key_mem\[4\]\[21\],27.6µm
_06076_,27.58µm
_08925_,27.58µm
_10763_,27.58µm
_11846_,27.56µm
_04774_,27.5µm
_02908_,27.48µm
_05094_,27.48µm
keymem.key_mem\[2\]\[67\],27.48µm
_09557_,27.46µm
_11702_,27.46µm
_05191_,27.44µm
_08028_,27.44µm
_09859_,27.42µm
_09089_,27.22µm
_07086_,27.2µm
_04073_,27.18µm
keymem.prev_key1_reg\[52\],27.12µm
_09523_,27.07µm
_10759_,27.045µm
_10847_,27.04µm
keymem.rcon_reg\[0\],27.04µm
_05965_,27.02µm
_09836_,27µm
_07257_,26.96µm
_03298_,26.94µm
_08526_,26.94µm
_08384_,26.92µm
keymem.key_mem\[14\]\[61\],26.92µm
_02850_,26.9µm
_07511_,26.9µm
_10468_,26.9µm
_05605_,26.88µm
dec_block.block_w1_reg\[26\],26.88µm
_06739_,26.86µm
_07666_,26.85µm
_04770_,26.84µm
_10196_,26.84µm
_10311_,26.84µm
_09664_,26.82µm
_04124_,26.76µm
keymem.key_mem\[0\]\[14\],26.76µm
_10568_,26.74µm
_11691_,26.72µm
_04132_,26.7µm
_04387_,26.68µm
_08738_,26.66µm
keymem.key_mem\[10\]\[34\],26.66µm
_04617_,26.64µm
_09169_,26.64µm
_09973_,26.64µm
_04252_,26.62µm
_05832_,26.6µm
_05981_,26.56µm
_09313_,26.56µm
_03542_,26.55µm
_06849_,26.52µm
_09075_,26.5µm
keymem.key_mem\[8\]\[45\],26.5µm
_02889_,26.48µm
_03720_,26.48µm
_05876_,26.48µm
keymem.key_mem\[7\]\[18\],26.48µm
keymem.prev_key0_reg\[117\],26.48µm
_02885_,26.44µm
_06885_,26.44µm
_07138_,26.44µm
keymem.key_mem\[2\]\[45\],26.44µm
_01730_,26.405µm
_06645_,26.4µm
_11985_,26.4µm
_10678_,26.39µm
_05591_,26.36µm
_09154_,26.32µm
_03925_,26.3µm
_11572_,26.3µm
_11963_,26.3µm
_06463_,26.24µm
_10167_,26.24µm
_04680_,26.22µm
_07115_,26.22µm
_05797_,26.2µm
_08280_,26.2µm
keymem.key_mem\[2\]\[115\],26.2µm
_08854_,26.18µm
_08348_,26.14µm
net231,26.14µm
_07003_,26.1µm
_08468_,26.1µm
_07594_,26.06µm
_05344_,26.02µm
_04579_,26µm
_07144_,26µm
keymem.key_mem\[2\]\[7\],25.98µm
_04559_,25.96µm
_04607_,25.96µm
_07571_,25.96µm
_05178_,25.94µm
_08294_,25.92µm
_08629_,25.92µm
_09284_,25.92µm
_04999_,25.9µm
_07836_,25.9µm
_08012_,25.86µm
_07289_,25.85µm
_08533_,25.84µm
_10936_,25.84µm
clknet_leaf_243_clk,25.81µm
_05992_,25.76µm
_06895_,25.76µm
_05132_,25.72µm
_07655_,25.72µm
_04986_,25.7µm
_08880_,25.68µm
_10109_,25.68µm
_04425_,25.66µm
_07933_,25.66µm
_11786_,25.66µm
_08376_,25.64µm
_09392_,25.64µm
_09482_,25.62µm
_03816_,25.605µm
_07677_,25.6µm
keymem.key_mem\[8\]\[77\],25.6µm
_08786_,25.58µm
_07139_,25.54µm
keymem.prev_key0_reg\[66\],25.54µm
_04055_,25.52µm
_05137_,25.5µm
_06966_,25.5µm
_07575_,25.5µm
_11732_,25.48µm
_08505_,25.46µm
_05232_,25.44µm
keymem.prev_key0_reg\[3\],25.42µm
_03144_,25.38µm
_10208_,25.38µm
_09283_,25.36µm
keymem.prev_key1_reg\[44\],25.34µm
_05571_,25.32µm
_03069_,25.3µm
_07049_,25.3µm
_07287_,25.28µm
_10382_,25.26µm
_10117_,25.25µm
keymem.key_mem\[0\]\[59\],25.2µm
_09363_,25.16µm
keymem.key_mem\[0\]\[67\],25.14µm
_11153_,25.095µm
_05121_,25.08µm
_04899_,25.06µm
_08933_,25.06µm
_09926_,25.06µm
_08999_,25.02µm
keymem.key_mem\[0\]\[11\],25.02µm
_07417_,25µm
_08619_,25µm
_09088_,25µm
keymem.key_mem\[6\]\[67\],25µm
_03280_,24.98µm
keymem.key_mem\[14\]\[54\],24.98µm
_05536_,24.94µm
_05540_,24.94µm
keymem.prev_key1_reg\[105\],24.93µm
_03211_,24.92µm
_05265_,24.92µm
_08612_,24.91µm
_02736_,24.9µm
_11338_,24.9µm
_10850_,24.885µm
_04794_,24.88µm
_07618_,24.88µm
_08969_,24.88µm
keymem.key_mem\[6\]\[7\],24.88µm
keymem.prev_key1_reg\[33\],24.88µm
_11545_,24.86µm
_05281_,24.84µm
_09253_,24.84µm
keymem.prev_key1_reg\[37\],24.84µm
_03319_,24.78µm
_05299_,24.78µm
_09375_,24.76µm
_03206_,24.72µm
_04924_,24.72µm
_05124_,24.72µm
_08719_,24.72µm
_08451_,24.7µm
keymem.key_mem\[11\]\[27\],24.7µm
_09381_,24.68µm
keymem.key_mem\[0\]\[22\],24.68µm
_02765_,24.66µm
_09434_,24.66µm
keymem.prev_key0_reg\[71\],24.65µm
_06581_,24.64µm
_10930_,24.62µm
_03215_,24.6µm
_04574_,24.6µm
aes_core_ctrl_reg\[0\],24.59µm
_02507_,24.58µm
_04570_,24.58µm
_08650_,24.58µm
_09733_,24.58µm
_08470_,24.56µm
_05770_,24.54µm
_08037_,24.52µm
_03266_,24.5µm
_11783_,24.5µm
_09385_,24.46µm
keymem.key_mem\[0\]\[114\],24.46µm
_08224_,24.44µm
_10500_,24.42µm
_10656_,24.42µm
_03571_,24.38µm
_05519_,24.38µm
_12000_,24.34µm
_04876_,24.32µm
_08167_,24.32µm
keymem.key_mem\[9\]\[7\],24.305µm
_03695_,24.3µm
_11751_,24.3µm
_03225_,24.28µm
_10831_,24.27µm
_03283_,24.26µm
_05175_,24.26µm
_10919_,24.26µm
_11485_,24.26µm
clknet_leaf_194_clk,24.26µm
_11808_,24.25µm
_10560_,24.24µm
dec_block.block_w1_reg\[27\],24.24µm
_08002_,24.2µm
keymem.prev_key0_reg\[40\],24.2µm
_04446_,24.18µm
_10256_,24.18µm
_11006_,24.18µm
_04257_,24.16µm
_07512_,24.16µm
keymem.prev_key1_reg\[55\],24.16µm
_03194_,24.14µm
_05217_,24.14µm
_08397_,24.14µm
_03841_,24.12µm
_03990_,24.12µm
_03593_,24.1µm
_10475_,24.1µm
keymem.key_mem\[11\]\[85\],24.09µm
_11324_,24.06µm
_02849_,24.04µm
_04634_,24.04µm
_08713_,24.04µm
_08851_,24.04µm
_11361_,24.02µm
dec_block.block_w1_reg\[13\],24.02µm
_03927_,23.98µm
_09416_,23.98µm
_10515_,23.98µm
_10824_,23.98µm
_02916_,23.96µm
_09100_,23.96µm
keymem.prev_key0_reg\[12\],23.96µm
keymem.prev_key1_reg\[40\],23.94µm
_03432_,23.92µm
keymem.prev_key1_reg\[88\],23.91µm
_02651_,23.9µm
_05826_,23.9µm
_08305_,23.88µm
keymem.key_mem\[6\]\[10\],23.88µm
_03304_,23.86µm
keymem.key_mem_ctrl_reg\[0\],23.81µm
_06290_,23.8µm
_07037_,23.8µm
_09029_,23.8µm
_09816_,23.78µm
keymem.key_mem\[12\]\[75\],23.78µm
_02853_,23.76µm
_02879_,23.76µm
_09573_,23.76µm
_03342_,23.74µm
_02488_,23.72µm
_07586_,23.72µm
_08034_,23.72µm
_08353_,23.72µm
_09383_,23.72µm
_06496_,23.68µm
_09421_,23.68µm
_11779_,23.68µm
keymem.prev_key0_reg\[83\],23.68µm
_03031_,23.665µm
_09345_,23.66µm
_03611_,23.64µm
_07157_,23.64µm
_05141_,23.58µm
_06060_,23.56µm
_09439_,23.56µm
_11468_,23.54µm
keymem.rcon_logic.tmp_rcon\[7\],23.54µm
_04943_,23.52µm
_04368_,23.505µm
_03083_,23.5µm
dec_block.block_w1_reg\[0\],23.49µm
_06736_,23.48µm
_06864_,23.48µm
_00834_,23.46µm
_04624_,23.46µm
_08381_,23.46µm
_08568_,23.46µm
_11933_,23.46µm
_06704_,23.44µm
_06323_,23.42µm
_09549_,23.42µm
_04290_,23.36µm
_07981_,23.36µm
_07477_,23.34µm
keymem.key_mem\[3\]\[1\],23.31µm
_04761_,23.3µm
_03520_,23.26µm
_06723_,23.26µm
keymem.prev_key1_reg\[34\],23.26µm
_02806_,23.2µm
_04228_,23.2µm
_04508_,23.2µm
_10691_,23.2µm
_04245_,23.18µm
_05547_,23.18µm
clknet_leaf_26_clk,23.18µm
_04895_,23.16µm
_10616_,23.16µm
_11551_,23.16µm
_04816_,23.14µm
_04193_,23.1µm
_04519_,23.08µm
_08093_,23.08µm
_08277_,23.06µm
keymem.key_mem\[5\]\[1\],23.06µm
keymem.key_mem\[8\]\[61\],23.06µm
_05027_,23.04µm
_11327_,23.02µm
_06068_,23µm
keymem.key_mem\[6\]\[76\],23µm
_03428_,22.98µm
_07197_,22.98µm
_07845_,22.98µm
_07553_,22.94µm
_10174_,22.94µm
_04659_,22.92µm
_05483_,22.92µm
_10856_,22.9µm
dec_block.dec_ctrl_reg\[3\],22.9µm
_04948_,22.88µm
_10444_,22.88µm
_08676_,22.87µm
_09159_,22.86µm
keymem.prev_key0_reg\[14\],22.84µm
keymem.prev_key1_reg\[114\],22.83µm
_07041_,22.82µm
_11302_,22.82µm
_05374_,22.78µm
_07846_,22.78µm
_07808_,22.77µm
_04544_,22.76µm
_04547_,22.76µm
_11524_,22.74µm
_08628_,22.73µm
_00428_,22.72µm
_05485_,22.72µm
_06758_,22.72µm
_10501_,22.72µm
keymem.prev_key1_reg\[125\],22.72µm
_11474_,22.7µm
_02573_,22.68µm
_05953_,22.68µm
_08799_,22.68µm
keymem.key_mem\[9\]\[5\],22.68µm
_06881_,22.66µm
keymem.key_mem\[0\]\[10\],22.66µm
_10160_,22.62µm
_11354_,22.62µm
keymem.prev_key0_reg\[73\],22.62µm
_02737_,22.615µm
keymem.prev_key1_reg\[89\],22.615µm
_02538_,22.6µm
_03564_,22.6µm
_07288_,22.6µm
_08147_,22.6µm
keymem.key_mem\[14\]\[66\],22.6µm
_02554_,22.58µm
_03011_,22.58µm
_09086_,22.58µm
_11845_,22.58µm
keymem.prev_key0_reg\[23\],22.57µm
_04162_,22.56µm
_04921_,22.56µm
_08270_,22.56µm
_05581_,22.54µm
_09348_,22.54µm
_11878_,22.54µm
keymem.prev_key1_reg\[120\],22.54µm
_04950_,22.52µm
_05381_,22.52µm
_09404_,22.52µm
_10381_,22.5µm
_11493_,22.5µm
_03822_,22.48µm
_07196_,22.48µm
_10054_,22.48µm
_11634_,22.48µm
_06558_,22.46µm
_06608_,22.46µm
_07852_,22.44µm
_09449_,22.435µm
_01346_,22.42µm
_04901_,22.42µm
_10073_,22.42µm
_11770_,22.42µm
keymem.key_mem\[12\]\[31\],22.42µm
_09175_,22.4µm
_10600_,22.385µm
_07225_,22.38µm
keymem.prev_key1_reg\[86\],22.37µm
_04338_,22.36µm
_06956_,22.36µm
_07459_,22.36µm
keymem.key_mem\[3\]\[72\],22.36µm
_01607_,22.34µm
keymem.key_mem\[14\]\[45\],22.32µm
_11645_,22.3µm
_11158_,22.28µm
key[78],22.28µm
keymem.key_mem\[13\]\[24\],22.26µm
keymem.key_mem\[2\]\[21\],22.24µm
keymem.key_mem\[3\]\[60\],22.24µm
_04498_,22.21µm
_06692_,22.2µm
_07123_,22.2µm
_09929_,22.2µm
_06364_,22.18µm
_10538_,22.18µm
_06697_,22.16µm
_11174_,22.16µm
_05149_,22.12µm
_09164_,22.12µm
_10561_,22.12µm
_12018_,22.12µm
_07803_,22.11µm
_03223_,22.1µm
_05264_,22.1µm
keymem.key_mem\[5\]\[40\],22.1µm
_03615_,22.08µm
_09569_,22.08µm
_03414_,22.04µm
_08949_,22.04µm
_10481_,22.04µm
_10686_,22.04µm
_03367_,22.02µm
_05009_,22.02µm
_04031_,22µm
_05510_,22µm
_06790_,22µm
keymem.prev_key1_reg\[95\],21.99µm
_07204_,21.98µm
_10331_,21.98µm
_02858_,21.96µm
_04296_,21.96µm
_08290_,21.96µm
_11888_,21.96µm
keymem.key_mem\[11\]\[39\],21.96µm
keymem.key_mem\[14\]\[80\],21.96µm
_03240_,21.92µm
_04497_,21.92µm
_05014_,21.9µm
_09951_,21.9µm
keymem.key_mem\[6\]\[116\],21.9µm
_06622_,21.88µm
_05410_,21.86µm
_09147_,21.845µm
_03624_,21.84µm
_10094_,21.82µm
_06549_,21.8µm
_10717_,21.8µm
dec_block.block_w0_reg\[21\],21.8µm
keymem.key_mem\[5\]\[34\],21.8µm
_02873_,21.78µm
_05539_,21.78µm
_08054_,21.78µm
_04799_,21.76µm
_11797_,21.76µm
_10043_,21.74µm
_11359_,21.74µm
_11821_,21.74µm
keymem.prev_key1_reg\[90\],21.74µm
_11911_,21.72µm
_05286_,21.7µm
_11386_,21.68µm
_11734_,21.66µm
_10589_,21.64µm
keymem.key_mem\[9\]\[55\],21.625µm
_07905_,21.62µm
_05386_,21.6µm
_06400_,21.59µm
_06485_,21.58µm
_00221_,21.54µm
_03116_,21.54µm
_05062_,21.54µm
keymem.prev_key1_reg\[94\],21.53µm
_07006_,21.52µm
keymem.key_mem\[9\]\[24\],21.52µm
keymem.key_mem\[7\]\[77\],21.5µm
_07052_,21.48µm
_07471_,21.48µm
_07730_,21.48µm
_10681_,21.48µm
keymem.key_mem\[4\]\[37\],21.48µm
_04591_,21.46µm
_06359_,21.46µm
_07188_,21.46µm
_03630_,21.44µm
_05370_,21.44µm
_06873_,21.44µm
_09269_,21.41µm
_11789_,21.38µm
keymem.key_mem\[0\]\[56\],21.365µm
_03060_,21.36µm
_03903_,21.36µm
_10928_,21.36µm
_04984_,21.34µm
_08584_,21.34µm
key[224],21.34µm
_04606_,21.32µm
_05831_,21.3µm
_09597_,21.28µm
keymem.key_mem\[7\]\[45\],21.26µm
_04079_,21.24µm
_08817_,21.24µm
keymem.key_mem\[5\]\[107\],21.24µm
_03954_,21.22µm
dec_block.block_w1_reg\[15\],21.22µm
_05525_,21.2µm
keymem.key_mem\[4\]\[98\],21.2µm
_03767_,21.16µm
_08871_,21.16µm
_09057_,21.16µm
_11816_,21.14µm
keymem.key_mem\[4\]\[110\],21.14µm
keymem.key_mem\[4\]\[66\],21.135µm
_04394_,21.12µm
_04842_,21.12µm
_02566_,21.1µm
_02624_,21.08µm
_05412_,21.08µm
_08654_,21.08µm
_09070_,21.08µm
_10976_,21.08µm
_10414_,21.06µm
_03369_,21.02µm
_03853_,21.02µm
_03931_,21.02µm
_04645_,21.02µm
_07991_,21.02µm
_08182_,21.02µm
_09063_,21.02µm
keymem.key_mem\[9\]\[25\],21.02µm
_04420_,21µm
keymem.key_mem\[13\]\[60\],21µm
_07260_,20.98µm
_08675_,20.96µm
keymem.key_mem\[0\]\[12\],20.935µm
_05338_,20.92µm
_05952_,20.92µm
_08604_,20.92µm
_11710_,20.92µm
keymem.prev_key1_reg\[51\],20.92µm
_03642_,20.9µm
_07038_,20.9µm
_04712_,20.88µm
_06904_,20.88µm
_11296_,20.88µm
_05773_,20.86µm
_10165_,20.84µm
keymem.prev_key1_reg\[46\],20.84µm
keymem.key_mem\[14\]\[124\],20.825µm
_07952_,20.82µm
_11052_,20.82µm
_11088_,20.82µm
_11123_,20.82µm
_05796_,20.8µm
_11194_,20.8µm
_07562_,20.785µm
keymem.key_mem\[3\]\[2\],20.785µm
_03012_,20.78µm
_05146_,20.78µm
_10018_,20.78µm
_04148_,20.76µm
_09314_,20.76µm
keymem.key_mem\[8\]\[21\],20.76µm
_10735_,20.74µm
keymem.key_mem\[7\]\[122\],20.74µm
_04183_,20.72µm
keymem.key_mem\[3\]\[120\],20.72µm
_08266_,20.7µm
_11542_,20.7µm
key[110],20.68µm
keymem.key_mem\[8\]\[6\],20.675µm
_05195_,20.62µm
_06138_,20.62µm
_06539_,20.62µm
_10818_,20.62µm
keymem.prev_key1_reg\[78\],20.62µm
_03417_,20.6µm
_05112_,20.6µm
_02986_,20.58µm
_08071_,20.58µm
_08615_,20.58µm
_10034_,20.58µm
_10963_,20.58µm
_11059_,20.58µm
_08595_,20.56µm
_08681_,20.56µm
_09867_,20.56µm
_03295_,20.54µm
keymem.prev_key1_reg\[47\],20.53µm
_05950_,20.52µm
_11191_,20.52µm
_03275_,20.5µm
keymem.prev_key0_reg\[67\],20.5µm
clknet_leaf_37_clk,20.5µm
keymem.prev_key0_reg\[51\],20.48µm
_03313_,20.46µm
_04709_,20.44µm
_11901_,20.44µm
_11941_,20.44µm
key[120],20.44µm
keymem.prev_key1_reg\[60\],20.44µm
_03410_,20.42µm
_03419_,20.42µm
_10536_,20.42µm
_10222_,20.41µm
_09604_,20.38µm
_08426_,20.37µm
keymem.key_mem\[14\]\[56\],20.36µm
keymem.key_mem\[1\]\[42\],20.35µm
_11030_,20.34µm
keymem.prev_key1_reg\[106\],20.34µm
_08046_,20.32µm
_08821_,20.32µm
_04572_,20.3µm
keymem.key_mem\[1\]\[75\],20.3µm
_02258_,20.28µm
_03224_,20.28µm
_04241_,20.28µm
